1|Family and people|mama=mother;tata=father;brat=brother;sestra=sister;baba=grandmother;dida=grandfather;sin=son;kćerka=daughter;porodica=family;roditelj=parent;dijete=child;čovjek=person;žena=woman;muškarac=man;djevojka=girl;dječak=boy;beba=baby;prijatelj=friend;komšija=neighbor;rođak=relative
2|Courtesy|zdravo=hello;hvala=thank you;molim=please;da=yes;ne=no;doviđenja=goodbye;ćao=hi / bye;izvini=sorry;dobrodošlica=welcome (noun);pozdrav=greeting
3|People in a sentence|ja=I;ti=you (singular);on=he;ona=she;mi=we;vi=you (plural / formal);oni=they;sebe=oneself;neko=someone;niko=nobody
4|Numbers one to ten|jedan=one;dva=two;tri=three;četiri=four;pet=five;šest=six;sedam=seven;osam=eight;devet=nine;deset=ten
5|Questions|ko=who;šta=what;gdje=where;kada=when;zašto=why;kako=how;koliko=how much / many;koji=which;kuda=which way;čiji=whose
6|Numbers beyond ten|jedanaest=eleven;dvanaest=twelve;trinaest=thirteen;četrnaest=fourteen;petnaest=fifteen;šesnaest=sixteen;sedamnaest=seventeen;osamnaest=eighteen;devetnaest=nineteen;dvadeset=twenty
7|Useful quantities|trideset=thirty;četrdeset=forty;pedeset=fifty;šezdeset=sixty;sedamdeset=seventy;osamdeset=eighty;devedeset=ninety;sto=hundred;hiljada=thousand;nula=zero
8|Our relatives|ujak=maternal uncle;stric=paternal uncle;tetka=aunt;ujna=maternal uncle's wife;strina=paternal uncle's wife;teča=aunt's husband;unuk=grandson;unuka=granddaughter;suprug=husband;supruga=wife
9|Names and identity|ime=first name;prezime=surname;nadimak=nickname;godina=year;rođendan=birthday;adresa=address;država=country;grad=city;selo=village;domovina=homeland
10|Essential verbs|biti=to be;imati=to have;htjeti=to want;moći=to be able;znati=to know;razumjeti=to understand;govoriti=to speak;slušati=to listen;gledati=to watch;vidjeti=to see
11|Finding our way in conversation|ovdje=here;tamo=there;ovamo=this way;blizu=near;daleko=far;lijevo=left;desno=right;pravo=straight ahead;gore=up;dolje=down
12|Basic qualities|velik=big;mali=small;dobar=good;loš=bad;lijep=beautiful;ružan=ugly;nov=new;star=old;mlad=young;važan=important
13|A day together|jutro=morning;dan=day;veče=evening;noć=night;podne=noon;ponoć=midnight;danas=today;sjutra=tomorrow;juče=yesterday;prekosjutra=day after tomorrow
14|Week and time|ponedjeljak=Monday;utorak=Tuesday;srijeda=Wednesday;četvrtak=Thursday;petak=Friday;subota=Saturday;nedjelja=Sunday;sedmica=week;mjesec=month;vrijeme=time / weather
15|Everyday actions|ići=to go;doći=to come;živjeti=to live;raditi=to work;učiti=to learn;voljeti=to like / love;željeti=to wish;trebati=to need;pitati=to ask;odgovoriti=to answer
16|Home basics|kuća=house;stan=apartment;soba=room;kuhinja=kitchen;kupatilo=bathroom;krevet=bed;vrata=door;prozor=window;dvorište=yard;namještaj=furniture
17|What we feel|srećan=happy;tužan=sad;umoran=tired;gladan=hungry;žedan=thirsty;uzbuđen=excited;zabrinut=worried;miran=calm;ljubazan=kind;ponosan=proud
18|Being together|zajedno=together;sam=alone;uvijek=always;nikad=never;često=often;ponekad=sometimes;opet=again;sada=now;uskoro=soon;kasnije=later
19|Useful little words|i=and;ili=or;ali=but;jer=because;ako=if;dok=while;zato=therefore;možda=maybe;sigurno=certainly;zaista=really
20|Family foundations|jezik=language;riječ=word;rečenica=sentence;pitanje=question;odgovor=answer;priča=story;razgovor=conversation;glas=voice;osmijeh=smile;zagrljaj=hug
21|Colors|crven=red;plav=blue;zelen=green;žut=yellow;crn=black;bijel=white;narandžast=orange (color);ljubičast=purple;ružičast=pink;smeđ=brown
22|Looking closely|siv=gray;svijetao=light (color);taman=dark;šaren=colorful;boja=color;slika=picture;crtež=drawing;olovka=pencil;papir=paper;gumica=eraser
23|Things to describe|majica=T-shirt;pantalone=trousers;haljina=dress;cipela=shoe;jakna=jacket;šešir=hat;torba=bag (carried);knjiga=book;lopta=ball;igračka=toy
41|In the garden|paradajz=tomato;krastavac=cucumber;krompir=potato;luk=onion;paprika=pepper;mrkva=carrot;kupus=cabbage;praziluk=leek;blitva=chard;brokva=rutabaga
42|Growing food|bašta=garden;zemlja=soil;sjeme=seed;korijen=root;stabljika=stem;list=leaf;cvijet=flower;plod=fruit (of a plant);grana=branch;žbun=shrub
43|Gardening actions|saditi=to plant;sijati=to sow;zalivati=to water;rasti=to grow;brati=to pick;kopati=to dig;čupati=to pull out;đubriti=to fertilize;orezati=to prune;nicati=to sprout
44|A garden toolkit|lopata=shovel;motika=hoe;grabulje=rake;crijevo=hose;kanta=bucket;saksija=flowerpot;rasad=seedlings;kompost=compost;staklenik=greenhouse;ograda=fence
45|Seasonal produce|lubenica=watermelon;dinja=melon;grožđe=grapes;smokva=fig;šipak=pomegranate;maslina=olive;dunja=quince;orah=walnut;lješnik=hazelnut;badem=almond
46|At the café|kafa=coffee;čaj=tea;voda=water;sok=juice;mlijeko=milk;račun=bill;konobar=waiter;meni=menu;kafić=café;terasa=terrace
47|Ordering politely|narudžba=order (food);usluga=service;gost=guest;rezervacija=reservation;stolica=chair;stočić=small table;napojnica=tip;izbor=choice;preporuka=recommendation;ponuda=offer
